scenario,foregrounds,regime,filtered,method,replicates,false_any,false_any_low,false_any_high,mean_fdp,sensitivity,endpoint_sensitivity,jump_sensitivity,signal,endpoints,jumps
unequal,4,heterogeneous,True,poisson,100,0.06,0.02233488607131637,0.12602993458082287,0.06,0.006666666666666667,0.016,0.012903225806451613,300,125,155
unequal,4,moderate,False,fixed,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.13333333333333333,0.272108843537415,0.2247191011235955,300,147,178
unequal,4,moderate,False,learned,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.12333333333333334,0.25170068027210885,0.20786516853932585,300,147,178
unequal,4,moderate,False,poisson,100,0.04,0.011004493986188203,0.09925715671265992,0.04,0.006666666666666667,0.013605442176870748,0.011235955056179775,300,147,178
unequal,4,moderate,True,fixed,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.13333333333333333,0.272108843537415,0.2247191011235955,300,147,178
unequal,4,moderate,True,learned,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.12333333333333334,0.25170068027210885,0.20786516853932585,300,147,178
unequal,4,moderate,True,poisson,100,0.04,0.011004493986188203,0.09925715671265992,0.04,0.006666666666666667,0.013605442176870748,0.011235955056179775,300,147,178
unequal,4,null,False,fixed,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.0,0.0,0.0,0,0,0
unequal,4,null,False,learned,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.0,0.0,0.0,0,0,0
unequal,4,null,False,poisson,100,0.12,0.06356890256102586,0.20023568362003882,0.12,0.0,0.0,0.0,0,0,0
unequal,4,null,True,fixed,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.0,0.0,0.0,0,0,0
unequal,4,null,True,learned,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.0,0.0,0.0,0,0,0
unequal,4,null,True,poisson,100,0.12,0.06356890256102586,0.20023568362003882,0.12,0.0,0.0,0.0,0,0,0
